dep_epci,siren_epci,nom_complet,nj_epci2016,fisc_epci2016,nb_com_epci_2016,ptot_epci_2016,pmun_epci_2016,dep_com,insee,siren_com,nom_com,ptot_2016,pmun_2016
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01056,210100566,Boyeux-Saint-Jérôme,379,365
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01068,210100681,Cerdon,762,749
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01077,210100772,Challes-la-Montagne,188,181
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01199,210101994,Jujurieux,2212,2172
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01200,210102000,Labalme,208,206
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01242,210102422,Mérignat,130,125
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01273,210102737,Neuville-sur-Ain,1655,1610
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01303,210103032,Poncin,1730,1686
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01304,210103040,Pont-d'Ain,2783,2734
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01314,210103149,Priay,1626,1600
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01331,210103313,Saint-Alban,171,168
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01363,210103636,Saint-Jean-le-Vieux,1747,1645
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01404,210104048,Serrières-sur-Ain,126,125
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14255,13893,01,01430,210104303,Varambon,538,527
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01001,210100012,L'Abergement-Clémenciat,780,767
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01028,210100285,Baneins,583,573
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01083,210100830,Chaneins,867,847
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01093,210100939,Châtillon-sur-Chalaronne,5165,4957
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01113,210101135,Condeissiat,817,806
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01146,210101465,Dompierre-sur-Chalaronne,411,402
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01272,210102729,Neuville-les-Dames,1509,1492
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01319,210103198,Relevant,476,471
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01328,210103289,Romans,609,602
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01335,210103354,Saint-André-le-Bouchoux,355,354
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01356,210103560,Saint-Georges-sur-Renon,219,214
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01389,210103891,Saint-Trivier-sur-Moignans,1852,1826
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01393,210103933,Sandrans,515,508
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01412,210104121,Sulignat,578,557
01,200035210,CC Chalaronne Centre,CC,FA,15,14858,14495,01,01428,210104287,Valeins,122,119
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01015,200053668,Arboys en Bugey,642,631
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01286,200059913,Parves et Nattages,960,939
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01338,200060143,Groslée-Saint-Benoit,1202,1180
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01006,210100061,Ambléon,114,108
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01009,210100095,Andert-et-Condon,345,337
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01019,210100194,Armix,22,21
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01022,210100228,Artemare,1217,1175
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01034,210100343,Belley,9337,8909
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01039,210100392,Béon,470,457
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01058,210100582,Brégnier-Cordon,891,865
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01061,210100616,Brens,1227,1200
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01066,210100665,La Burbanche,72,72
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01073,210100731,Ceyzérieu,1039,1005
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01098,210100988,Chazey-Bons,848,831
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01100,210101002,Cheignieu-la-Balme,152,146
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01110,210101101,Colomieu,126,124
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01116,210101168,Contrevoz,534,518
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01117,210101176,Conzieu,154,146
01,200040350,CC Bugey Sud,CC,FPU,39,29970,29055,01,01133,210101333,Cressin-Rochefort,390,380
